,wavelength,wavelength_bin_width,transit_depth,transit_depth_error
0,2.872843e+00,1.013900e-02,1.015000e-03,2.900000e-05
1,2.893120e+00,1.013900e-02,1.023000e-03,2.900000e-05
2,2.913398e+00,1.013900e-02,1.017000e-03,2.700000e-05
3,2.933675e+00,1.013900e-02,9.480000e-04,2.600000e-05
4,2.953952e+00,1.013900e-02,9.830000e-04,2.800000e-05
5,2.974230e+00,1.013900e-02,9.380000e-04,2.800000e-05
6,2.994507e+00,1.013900e-02,9.810000e-04,2.700000e-05
7,3.014785e+00,1.013900e-02,1.001000e-03,2.600000e-05
8,3.035062e+00,1.013900e-02,9.510000e-04,2.500000e-05
9,3.055340e+00,1.013900e-02,1.027000e-03,4.200000e-05
10,3.075617e+00,1.013900e-02,9.720000e-04,2.600000e-05
11,3.095894e+00,1.013900e-02,1.014000e-03,2.400000e-05
12,3.116172e+00,1.013900e-02,9.710000e-04,2.600000e-05
13,3.136449e+00,1.013900e-02,1.002000e-03,2.400000e-05
14,3.156727e+00,1.013900e-02,1.028000e-03,2.400000e-05
15,3.177004e+00,1.013900e-02,1.011000e-03,2.400000e-05
16,3.197282e+00,1.013900e-02,9.530000e-04,2.400000e-05
17,3.217559e+00,1.013900e-02,9.330000e-04,2.500000e-05
18,3.237836e+00,1.013900e-02,9.720000e-04,2.500000e-05
19,3.258114e+00,1.013900e-02,1.008000e-03,2.500000e-05
20,3.278391e+00,1.013900e-02,9.770000e-04,2.400000e-05
21,3.298669e+00,1.013900e-02,9.670000e-04,2.400000e-05
22,3.318946e+00,1.013900e-02,9.780000e-04,2.400000e-05
23,3.339224e+00,1.013900e-02,9.730000e-04,2.400000e-05
24,3.359501e+00,1.013900e-02,9.730000e-04,2.400000e-05
25,3.379778e+00,1.013900e-02,9.440000e-04,2.400000e-05
26,3.400056e+00,1.013900e-02,9.290000e-04,2.500000e-05
27,3.420333e+00,1.013900e-02,9.790000e-04,2.400000e-05
