Wavelength(microns),(Rp/R*)^2,Error
2.883000000000000007e+00,1.032574123572357503e-03,1.941902773262869849e-05
2.923499999999999766e+00,1.019737698385375733e-03,1.828584931026793923e-05
2.963999999999999968e+00,9.878558130880998270e-04,1.846829981171489339e-05
3.004500000000000171e+00,1.042274286392096821e-03,1.730278277334132192e-05
3.044999999999999929e+00,1.017919113319689295e-03,1.684176830990815354e-05
3.085499999999999687e+00,1.027702207000132876e-03,1.674640684231168983e-05
3.126500000000000057e+00,1.007970051381327538e-03,1.617169915023970459e-05
3.166999999999999815e+00,1.061709568194235892e-03,1.677960272701706907e-05
3.207500000000000018e+00,9.903637005925977881e-04,1.659824459207963183e-05
3.248000000000000220e+00,1.033466857907754414e-03,1.660093432783352982e-05
3.288499999999999979e+00,9.969379141711350988e-04,1.640250140811521607e-05
3.329000000000000181e+00,1.013650861472134568e-03,1.607794802667418760e-05
3.369500000000000384e+00,9.894960069710271363e-04,1.622964024830731277e-05
3.410000000000000142e+00,9.831695024859674319e-04,1.655266167909479944e-05
3.450499999999999901e+00,1.009526145713396600e-03,1.617792103342183353e-05
3.491500000000000270e+00,1.005621520295663270e-03,1.658369610317482091e-05
3.532000000000000028e+00,1.008604550065461030e-03,1.698607675345538751e-05
3.572499999999999787e+00,9.880894015278816282e-04,1.640586474509268428e-05
3.612999999999999989e+00,1.005563025019486599e-03,1.732554801431976962e-05
3.653500000000000192e+00,9.890854650456298337e-04,1.677636301926131878e-05
3.693999999999999950e+00,1.026114972959031764e-03,1.745511524057619096e-05
3.839500000000000135e+00,9.007501647559046322e-04,1.855145563114674661e-05
3.879000000000000004e+00,9.429624060727409595e-04,1.780565980472541588e-05
3.918499999999999872e+00,9.173497430203579432e-04,1.895281007137435367e-05
3.958000000000000185e+00,9.529983291843847600e-04,1.857425292275122620e-05
3.997500000000000497e+00,9.386893823459716533e-04,1.953362692681837878e-05
4.037000000000000810e+00,9.223207470654076019e-04,1.946965637828071695e-05
4.076500000000000234e+00,9.546295165435507955e-04,2.029397834581431854e-05
4.115999999999999659e+00,9.465456125381542301e-04,2.082284331765491681e-05
4.155499999999999972e+00,9.388274356717572853e-04,2.157764753111868078e-05
4.194499999999999673e+00,9.035703604981051330e-04,2.206456642904733022e-05
4.233999999999999986e+00,9.112226409255235349e-04,2.206330151237270522e-05
4.273500000000000298e+00,9.478711540474602047e-04,2.318799180085899693e-05
4.313000000000000611e+00,9.228252675270336765e-04,2.528069762981133964e-05
4.352500000000000036e+00,9.181614560636829330e-04,2.522598139058146441e-05
4.391999999999999460e+00,8.995843721702628543e-04,2.511293844350849966e-05
4.431499999999999773e+00,9.032341479047687740e-04,2.681759957408202418e-05
4.471000000000000085e+00,9.016485912377583071e-04,2.714593078958580988e-05
4.510500000000000398e+00,9.602786866153838630e-04,2.816653888111603454e-05
4.550000000000000711e+00,9.199387306514147239e-04,2.885846841911003617e-05
4.589500000000000135e+00,9.314552198880353840e-04,3.002774730450122852e-05
4.628499999999999837e+00,8.970902407531527838e-04,3.030321140739369775e-05
4.667999999999999261e+00,9.694623096653620740e-04,3.016014304151761510e-05
4.707499999999999574e+00,9.556010637450521386e-04,3.117588623701301456e-05
4.746999999999999886e+00,9.153562212033225683e-04,3.183108197584394678e-05
4.786500000000000199e+00,9.397754075547694536e-04,3.314652217672776495e-05
4.826000000000000512e+00,8.873639902619175589e-04,3.340538297141248611e-05
4.865499999999999936e+00,9.049388808777966914e-04,3.567397874531998830e-05
4.904999999999999361e+00,9.077267425029822510e-04,3.520409225691771918e-05
4.944499999999999673e+00,8.918247303015732754e-04,3.651092999868620965e-05
4.983999999999999986e+00,9.188374384762342017e-04,3.657402521840174073e-05
5.023500000000000298e+00,9.565653863726335812e-04,3.928875937064541923e-05
5.062500000000000000e+00,9.297058712225393868e-04,3.981438642423785215e-05
